PassengerId,Survived
446,1
651,0
173,1
451,0
315,0
333,0
802,1
91,0
835,0
182,0
582,1
796,0
70,0
132,0
335,1
598,0
136,0
165,0
29,1
784,0
194,1
870,1
716,0
526,0
382,1
141,0
174,0
7,0
719,0
686,0
74,0
883,0
329,1
454,1
146,0
235,0
221,1
371,1
812,0
133,0
695,0
865,0
186,0
42,0
548,1
109,0
604,0
57,1
395,1
707,1
550,1
25,0
352,0
430,1
435,0
52,0
527,1
817,0
570,1
265,0
437,0
614,0
694,0
353,0
19,0
667,0
583,0
84,0
62,1
273,1
286,0
696,0
747,0
13,0
183,0
445,1
553,0
224,0
514,1
629,0
588,1
693,1
524,1
665,1
177,0
842,0
679,0
164,0
249,1
571,1
788,0
75,1
114,0
636,1
502,0
105,0
115,0
369,1
93,0
498,0
90,0
337,0
880,1
818,0
829,1
544,1
549,0
95,0
12,1
432,1
44,1
43,0
330,1
168,0
780,1
538,1
736,0
500,0
179,0
584,0
785,0
594,0
178,0
645,1
711,1
616,1
384,1
258,1
735,0
336,0
552,0
16,1
4,1
412,0
257,1
452,0
474,1
698,1
394,1
223,0
507,1
568,0
421,0
325,0
531,1
10,1
250,0
23,1
357,1
222,0
602,0
767,0
875,1
529,0
341,1
744,0
520,0
204,0
238,1
94,0
731,1
441,1
560,1
285,0
185,1
792,0
488,0
154,0
76,0
657,0
632,0
278,0
69,1
826,0
189,0
272,1
663,0
712,0
237,0
89,1
758,0
118,0
126,1
732,0
290,1
239,0
1,0
882,0
468,0
828,1
396,0
532,0
127,0
279,0
692,1
117,0
229,0
623,1
656,0
599,0
517,1
275,1
319,1
607,0
145,0
635,0
559,1
810,1
746,0
370,1
269,1
624,0
308,1
424,0
311,1
355,0
47,0
350,0
372,0
480,1
577,1
262,1
196,1
891,0
745,1
108,1
867,1
60,0
659,0
264,0
569,0
101,0
444,1
491,0
688,0
800,0
641,0
170,0
180,0
305,0
342,1
58,0
859,1
150,0
125,0
704,0
51,0
354,0
824,1
143,1
471,0
400,1
576,0
321,0
20,1
793,0
708,1
724,0
408,1
558,0
39,0
176,0
246,0
741,1
603,0
769,0
765,0
155,0
288,0
751,1
18,1
128,1
323,1
256,1
771,0
857,1
191,1
116,0
738,1
181,0
302,1
680,1
639,0
650,1
617,0
597,1
518,0
876,1
46,0
808,0
158,0
666,0
172,0
17,0
512,0
49,0
863,1
750,0
516,0
618,0
481,0
284,1
590,0
226,0
27,0
849,0
438,1
845,0
365,0
230,0
38,0
858,1
375,0
470,1
860,0
759,0
652,1
195,1
761,0
869,0
504,0
862,0
742,0
580,1
889,0
163,0
631,1
153,0
685,0
630,0
676,0
112,0
227,1
619,1
104,0
422,0
420,0
587,0
120,0
54,1
152,1
404,0
840,1
208,1
753,0
718,1
9,1
723,0
37,1
453,0
254,0
304,1
668,0
572,1
637,0
715,0
263,0
611,0
298,0
415,1
151,0
706,0
790,0
551,1
489,0
148,0
147,1
837,0
827,0
871,0
349,1
464,0
326,1
187,1
124,1
760,1
609,1
144,0
852,0
198,0
610,1
280,1
294,0
401,1
123,0
184,1
203,0
439,0
247,0
416,0
789,1
130,0
638,0
403,0
795,0
690,1
811,0
220,0
642,1
813,0
673,0
816,0
625,0
856,1
681,0
387,0
864,0
510,1
268,1
733,0
442,0
497,1
113,0
233,0
775,1
608,1
672,0
374,0
873,0
752,1
234,1
807,0
677,0
318,0
649,0
411,0
799,0
359,1
259,1
628,1
633,1
283,0
377,1
385,0
225,1
847,0
729,0
473,1
348,1
506,0
640,0
879,0
825,0
804,1
620,0
762,0
646,1
755,1
557,1
851,0
578,1
86,1
243,0
699,0
160,0
525,0
36,0
541,1
171,0
655,0
787,1
756,1
839,1
96,0
564,0
241,0
575,0
691,1
461,1
554,1
781,1
207,0
393,0
398,0
757,0
218,0
5,0
643,0
798,1
613,1
739,0
547,1
726,0
684,0
99,1
728,1
574,1
407,0
503,0
48,1
33,1
201,0
135,0
28,0
848,0
231,1
490,1
379,0
289,1
419,0
675,0
392,1
593,0
499,0
139,0
63,0
472,0
648,1
129,1
868,0
521,1
65,0
15,0
157,1
41,0
493,0
380,0
188,1
764,1
217,1
53,1
338,1
749,0
720,0
725,1
296,0
702,1
252,0
727,1
462,0
456,1
888,1
270,1
202,0
162,1
556,0
730,0
402,0
703,0
477,0
772,0
106,0
566,0
390,1
2,1
833,0
562,0
81,0
206,0
35,0
776,0
509,0
428,1
455,0
367,1
92,0
340,0
565,0
346,1
777,0
242,1
14,0
316,1
601,1
388,1
274,0
167,1
884,0
647,0
819,0
485,1
874,0
505,1
832,1
244,0
567,0
563,0
687,0
190,0
783,0
700,0
476,0
682,1
511,1
59,1
475,0
